mol,M+H,2M+H,M+H[C13],2M+H[C13],M+H[2C13],2M+H[2C13],2M+H[3C13],2M+H[4C13],M+K,[M+CH2O2]+H,[M+CH3OH]+H,[M+ACN]+H,[M+NH3]+H,[2M+CH2O2]+H,[2M+CH3OH]+H,[2M+ACN]+H,[2M+NH3]+H,M+Na,M+K[C13],[M+CH2O2]+H[C13],[M+CH3OH]+H[C13],[M+ACN]+H[C13],[M+NH3]+H[C13],[2M+CH2O2]+H[C13],[2M+CH3OH]+H[C13],[2M+ACN]+H[C13],[2M+NH3]+H[C13],M+Na[C13],[M-CO]+H,[M-C2H2]+H,[M-CH2O2]+H,[M-NH3]+H,[M-H2O]+H,[2M-CO]+H,[2M-C2H2]+H,[2M-CH2O2]+H,[2M-NH3]+H,[2M-H2O]+H,M+K[2C13],[M+CH2O2]+H[2C13],[M+CH3OH]+H[2C13],[M+ACN]+H[2C13],[M+NH3]+H[2C13],[2M+CH2O2]+H[2C13],[2M+CH2O2]+H[3C13],[2M+CH2O2]+H[4C13],[2M+CH3OH]+H[2C13],[2M+CH3OH]+H[3C13],[2M+CH3OH]+H[4C13],[2M+ACN]+H[2C13],[2M+ACN]+H[3C13],[2M+ACN]+H[4C13],[2M+NH3]+H[2C13],[2M+NH3]+H[3C13],[2M+NH3]+H[4C13],M+Na[2C13],[M-CO]+H[C13],[M-C2H2]+H[C13],[M-CH2O2]+H[C13],[M-NH3]+H[C13],[M-H2O]+H[C13],[2M-CO]+H[C13],[2M-C2H2]+H[C13],[2M-CH2O2]+H[C13],[2M-NH3]+H[C13],[2M-H2O]+H[C13],[M-CO]+H[2C13],[M-C2H2]+H[2C13],[M-CH2O2]+H[2C13],[M-NH3]+H[2C13],[M-H2O]+H[2C13],[2M-CO]+H[2C13],[2M-CO]+H[3C13],[2M-CO]+H[4C13],[2M-C2H2]+H[2C13],[2M-C2H2]+H[3C13],[2M-C2H2]+H[4C13],[2M-CH2O2]+H[2C13],[2M-CH2O2]+H[3C13],[2M-CH2O2]+H[4C13],[2M-NH3]+H[2C13],[2M-NH3]+H[3C13],[2M-NH3]+H[4C13],[2M-H2O]+H[2C13],[2M-H2O]+H[3C13],[2M-H2O]+H[4C13],M+2H,M+2H[C13],[M+CH2O2]+K,[M+CH3OH]+K,[M+ACN]+K,[M+NH3]+K,[M+CH2O2]+Na,[M+CH3OH]+Na,[M+ACN]+Na,[M+NH3]+Na,M+2H[2C13],[M+CH2O2]+K[C13],[M+CH3OH]+K[C13],[M+ACN]+K[C13],[M+NH3]+K[C13],[M+CH2O2]+Na[C13],[M+CH3OH]+Na[C13],[M+ACN]+Na[C13],[M+NH3]+Na[C13],[M-CO]+K,[M-C2H2]+K,[M-CH2O2]+K,[M-NH3]+K,[M-H2O]+K,[M-CO]+Na,[M-C2H2]+Na,[M-CH2O2]+Na,[M-NH3]+Na,[M-H2O]+Na,[M+CH2O2]+K[2C13],[M+CH3OH]+K[2C13],[M+ACN]+K[2C13],[M+NH3]+K[2C13],[M+CH2O2]+Na[2C13],[M+CH3OH]+Na[2C13],[M+ACN]+Na[2C13],[M+NH3]+Na[2C13],[M-CO]+K[C13],[M-C2H2]+K[C13],[M-CH2O2]+K[C13],[M-NH3]+K[C13],[M-H2O]+K[C13],[M-CO]+Na[C13],[M-C2H2]+Na[C13],[M-CH2O2]+Na[C13],[M-NH3]+Na[C13],[M-H2O]+Na[C13],[M-CO]+K[2C13],[M-C2H2]+K[2C13],[M-CH2O2]+K[2C13],[M-NH3]+K[2C13],[M-H2O]+K[2C13],[M-CO]+Na[2C13],[M-C2H2]+Na[2C13],[M-CH2O2]+Na[2C13],[M-NH3]+Na[2C13],[M-H2O]+Na[2C13],[M+CH2O2]+2H,[M+CH3OH]+2H,[M+ACN]+2H,[M+NH3]+2H,[M+CH2O2]+2H[C13],[M+CH3OH]+2H[C13],[M+ACN]+2H[C13],[M+NH3]+2H[C13],[M-CO]+2H,[M-C2H2]+2H,[M-CH2O2]+2H,[M-NH3]+2H,[M-H2O]+2H,[M+CH2O2]+2H[2C13],[M+CH3OH]+2H[2C13],[M+ACN]+2H[2C13],[M+NH3]+2H[2C13],[M-CO]+2H[C13],[M-C2H2]+2H[C13],[M-CH2O2]+2H[C13],[M-NH3]+2H[C13],[M-H2O]+2H[C13],[M-CO]+2H[2C13],[M-C2H2]+2H[2C13],[M-CH2O2]+2H[2C13],[M-NH3]+2H[2C13],[M-H2O]+2H[2C13]
Choline phosphate,1.01e+07,,5.57e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Histidine,1.54e+08,,9.89e+06,,1.49e+05,,,,,,1.72e+07,,,,,,,2.05e+06,,,1.30e+06,,,,,,,,,,7.40e+06,,7.33e+06,,,,,,,,,,,,,,,,,,,,,,,,,,4.92e+05,,4.34e+05,,,,,,,,,,1.85e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cytosine,2.93e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicotinate,1.68e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Leucine,1.12e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Alanine,1.00e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Cystine,1.55e+07,,7.71e+05,,,,,,,,,,,,,,,4.42e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Cystathionine,2.27e+06,,,,,,,,,,,,,,,,,1.34e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,2.97e+09,1.31e+09,1.30e+08,1.09e+08,2.92e+06,,,,8.67e+06,,,,,,,,,1.13e+07,,,,,,,,,,,2.28e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoxanthine,1.21e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selenomethionine,8.24e+08,3.17e+07,4.74e+07,3.43e+06,1.05e+06,,,,,,,,,,,,,3.07e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
